%value%' appears to be a DNS hostname but cannot extract TLD part,'%value%' pare a fi  un domeniu dar nu se poate extrage partea TLD
%value%' appears to be a DNS hostname but cannot match TLD against known list,"'%value%' pare a fi un domeniu, dar TLD-ul nu corespunde cu lista cunoscuta"
%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%',"'%value%' pare a fi un domeniu, dar schema pentru TLD '%tld%' nu corespunde cu hostname-ul"
%value%' appears to be a DNS hostname but contains a dash in an invalid position,"'%value%' pare a fi un domeniu, dar contine o linie de despartire intr-o pozitie nevalida"
%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded,"'%value%' pare a fi un domeniu, dar notatia punycode data nu poate fi decodata"
%value%' appears to be a local network name but local network names are not allowed,'%value%' apare ca fiind un nume de retea locala dar numele de retea locala nu sunt permise
"%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' apare ca fiind o adresa IP, dar adresele IP nu sunt permise"
%value%' does not appear to be a valid local network name,'%value%' nu apare ca fiind un nume de retea locala valid
* Required Fields,* campuri obligatorii
Edit Personal Information,Editeaza informatiile personale
Need to Confirm,Necesita confirmare
No product collections found,Nici o colectie de produse gasita
A new password was sent,Noua parola a fost trimisa
You have no primary entries in your address book.,Nu ai intrari principale in agenda.
You have not set a primary billing address.,Nu ati setat o adresa principala de facturare.
You have not set a primary shipping address.,Nu ati setat o adresa principala de livrare.
You are currently not subscribed to our newsletter,Momentan nu sunteti abonat la newsletter.
Can't share customer accounts global.,Nu se pot partaja conturile clientilor la nivel global.
Product name,Nume produs
My Reviews,Recenziile mele
New passowrd,Parola noua
Invalid login or password,Utilizator sau parola nevalida
Password must have at least 6 characters. Leading or trailing spaces will be ignored.,Parola trebuie sa aiba minim 6 caractere. Spatiile vor fi ignorate.
Pasword fields can't be empty.,Campurile pentru Parola nu pot fi goale
Ext. Price,Mareste pret.
"Problem saving the collection, aborting. Error: %s","Probleme la salvarea datelor, se anuleaza. Eroare: %s"
Saved ,Salvat 
"Skip import row, required field ""%s"" not defined","Omite rand importat, campul obligatoriu ""%s"" nu este definit"
"Skip import row, website ""%s"" field not exists","Omite rand importat,campul site-ului ""%s""nu exista"
Please enter your email below and we'll send you a new password.,"Va rugam, introduceti adresa de e-mail mai jos si va vom trimite o parola noua."
Email Template,Sablon e-mail
Grand Total: %s,Total : %s
Send welcome email,"Trimite e-mail de ""Bun Venit"
Last date subscribed,Ultima data de abonare
Last date unsubscribed,Ultima data de dezabonare
Last 5 Orders,Ultimele 5 comenzi
Last Viewed Items,Ultimele articole vizualizate
Last Url,Ultimul Url
View Order List,Vizualizeaza lista comenzilor
Visible In,Vizibil in
XML,XML
